video_name,video_number,frame_developed_model,frame_baseline_model
cat21.mp4,21,10,220
cat20.mp4,20,1600,1600
cat8.mp4,8,170,10
cat22.mp4,22,460,770
cat23.mp4,23,630,630
cat9.mp4,9,280,280
cat30.mp4,30,150,410
cat24.mp4,24,30,30
cat25.mp4,25,1100,650
cat2.mp4,2,300,1140
cat14.mp4,14,200,360
cat28.mp4,28,850,100
cat29.mp4,29,2600,2380
cat3.mp4,3,200,200
cat1.mp4,1,10,190
cat16.mp4,16,0,30
cat4.mp4,4,10,280
cat12.mp4,12,290,250
cat13.mp4,13,250,280
cat5.mp4,5,340,170
cat7.mp4,7,180,90
cat11.mp4,11,420,110
cat10.mp4,10,290,300
cat6.mp4,6,380,310
